title,network,years,feed_access,theme_arcs,description,notable_seasons,why_notable
Revisionist History,Pushkin Industries,2016–,early-access-paywall,historical-reconstruction; institutional-coverup; political-scandal; civil-rights-history,"Malcolm Gladwell revisits overlooked, misunderstood, or forgotten events and people from the past, reargued each episode with contrarian analysis and archival reporting.","The Staten Island Problem (2023, five-episode arc on the borough's 1990s secession movement, Giuliani, and Wu-Tang Clan); 2025 season examining capital punishment failures in Alabama",Pushkin's flagship launch title and one of the most consistently top-charting podcasts since 2016; helped establish Pushkin as a network in 2018.
Cautionary Tales,Pushkin Industries,2019–,early-access-paywall,historical-reconstruction; corporate-fraud; tech-gone-wrong,"Economist and journalist Tim Harford narrates dramatized true stories of disasters, scams, and errors in judgment, drawing lessons from history's biggest mistakes.","Episodes on the Titanic, the Tenerife airport disaster, and the Boston molasses flood",Long-running Pushkin flagship with dozens of internationally chart-topping episodes; frequent Apple/Spotify top-10 placement.
The Staten Island Problem,Pushkin Industries (Revisionist History),2023,early-access-paywall,political-scandal; historical-reconstruction; institutional-coverup,"A five-part limited series reconstructing Staten Island's early-1990s secession movement against New York City, woven through the rise of Giuliani, the peak of the city's homicide rate, and a young Donald Trump.",Full run is the notable season — five episodes with previously unheard archival audio.,Spun out as a standalone feed from Revisionist History due to strong listener response.
Against the Rules,Pushkin Industries,2019–,early-access-paywall,institutional-coverup; corporate-fraud; financial-scam; abuse-of-power,"Narrative-journalism series from author Michael Lewis examining fairness, expertise, and institutional trust through deeply reported seasons on referees, coaches, and the live-event ticketing industry.","Season tied to the 2025 audiobook re-release of The Big Short, tracing how the 2008 crash's forces produced today's economy",One of Pushkin's chart-topping flagship titles since the network's founding.
Broken Record,Pushkin Industries,2019–,early-access-paywall,music-history,"Music documentary and in-depth artist storytelling from Rick Rubin, Malcolm Gladwell, Bruce Headlam, and Justin Richmond, with narrative deep-dive episodes on artists, songs, and musical eras alongside interviews.",,Long-running flagship blending narrative music journalism with A-list guest access.
Deep Cover,Pushkin Industries,2020–,early-access-paywall,true-crime; disappearance-missing-persons; charismatic-con-artist; institutional-coverup,"Reported true-crime anthology from Pulitzer Prize-winning journalist Jake Halpern going inside undercover investigations, con games, and disappearances.","Season 1 'The Drug Wars' (FBI agent undercover in a biker gang, tracing a path to a US invasion, voiced by Walton Goggins); Season 2 'Mob Land' (lawyer-turned-informant against the Chicago mob, with Michael Imperioli); Season 3 'Never Seen Again' (two women who vanished in summer 1999)",Praised anthology format with celebrity narration; consistently ranked among Pushkin's top true-crime titles.
Fiasco,Pushkin Industries,2018–,early-access-paywall,political-scandal; institutional-coverup; historical-reconstruction,"Leon Neyfakh's narrative history series reconstructs American political scandals and crises episode by episode using deep archival tape and reporting, showing how chaos and cover-ups unfolded in real time.",Bush v. Gore (2020 debut season); Iran-Contra; The AIDS Crisis; Bush v. Gore; the 2025 season on Benghazi,Named one of TIME's 100 Best Podcasts of All Time.
The Last Archive,Pushkin Industries,2019–2021,early-access-paywall,historical-reconstruction; media-internet-culture; espionage-intelligence,"Harvard historian and New Yorker writer Jill Lepore hosts a narrative history show investigating how Americans know what they know — tracing the decline of shared truth through cases spanning espionage, science, and media.","Season 3, 'Coming Soon' — eight stories about the erosion of common knowledge",Acclaimed for archival sound design and Lepore's historian-led narrative approach.
Lost Hills,Pushkin Industries / LAist Studios,2020–,early-access-paywall,unsolved-murder; true-crime; institutional-coverup,"New Yorker writer Dana Goodyear investigates dark true-crime cases hidden beneath Malibu's wealthy, celebrity-driven surface.",Season 1 (original Malibu murders investigation); Season 2 'Dark Canyon',One of Pushkin's earliest forays into true crime; well-reviewed reported journalism format.
Deep Cover: Never Seen Again,Pushkin Industries,2023,early-access-paywall,disappearance-missing-persons; cold-case; true-crime,"Season 3 of Deep Cover follows two women on opposite coasts who went missing in the summer of 1999, unraveling the parallel mysteries of their disappearances.",,Standalone-charting season within the Deep Cover anthology.
The Chinatown Sting,Pushkin Industries / iHeartPodcasts,2025–,early-access-paywall,police-misconduct; institutional-coverup; historical-reconstruction,Investigative docuseries hosted by Lidia Jean Kott reconstructing a notorious undercover drug bust in Manhattan's Chinatown in the late 1980s and its long fallout.,Debut season premiering September 2025,"Part of Pushkin's fall 2025 slate, produced with the network's renewed iHeartMedia partnership."
McCartney: A Life in Lyrics,Pushkin Industries / iHeartPodcasts,2023–2024,early-access-paywall,music-history,"Paul McCartney and poet Paul Muldoon go song-by-song through McCartney's catalog, blending memoir, narrative history, and songwriting masterclass to reconstruct pivotal moments in Beatles and solo history.",,High-profile Pushkin/iHeart co-production tied to McCartney's published lyrics anthology.
"Bright Lights, No City",Pushkin Industries,2022,early-access-paywall,abuse-of-power; international-aid,"Journalist and NGO founder Jon Bougher narrates his own experience helping build a rural health clinic in Ghana, examining the unintended consequences and moral complexity of Western aid work.",,First-person narrative journalism praised for its self-critical look at international aid.
Empire City: The Untold Origin Story of the NYPD,"Wondery (Malcolm Gladwell's Pushkin-affiliated Ivron/Third Ear, distributed via Wondery)",2022,early-access-paywall,police-misconduct; historical-reconstruction; institutional-coverup,"A narrative history of the New York Police Department from its founding through the present, tracing how policing, corruption, and reform have shaped the city.","Single season, 8 episodes","Gladwell-affiliated narrative history project examining policing's evolution; distributed via Wondery, so early episodes/ad-free access sit behind Wondery+."
